ID,Title (任务标题),Content (详细内容),Acceptance Criteria (测试验收要求),Review Requirements (Review要求),State (状态),Labels (标签)
CSE-001,补项目级控制拓扑骨架,"在 `cybernetic-systems-engineering/SKILL.md` 新增“项目级控制拓扑”章节，明确 CSE 不只是任务级闭环，还要定义项目级控制结构、控制边界与跨模块协调入口。","1) `SKILL.md` 新增“项目级控制拓扑”标题；2) 章节明确区分任务级闭环与项目级控制；3) 文本中显式出现总体设计部、控制结构、跨模块协调三个概念；4) 不删除现有 Control Contract 与 GDA 主骨架。","回读新增章节，确认没有把项目级协议写成抽象口号；review+rewind 检查现有章节是否仍可独立阅读。",已完成,技能更新
CSE-002,补总体设计部与 owner matrix,"在项目级控制拓扑章节中补总体设计部协议，定义 owner matrix、决策升级路径、接口冻结条件与跨模块协调职责。","1) `SKILL.md` 明确写出 owner matrix；2) 明确至少一条升级路径规则；3) 明确接口冻结或变更审批条件；4) 说明跨模块变更由谁裁决。","检查职责边界是否清晰，避免出现“所有人都能改所有东西”的模糊协议；review+rewind 确认没有遗漏升级条件。",已完成,技能更新
CSE-003,补控制面数据面状态面划分,"在 `SKILL.md` 的项目级控制拓扑内补控制面、数据面、状态面三分法，要求 agent 在复杂任务开始前先识别复杂性放置位置。","1) `SKILL.md` 出现控制面/数据面/状态面三个术语；2) 每个术语至少有一句软件工程语义定义；3) 文本要求复杂任务先做三分法识别；4) 说明至少一个复杂性转移示例。","检查三分法是否和现有 Plant/Controller/Sensors/Actuators 定义兼容；review+rewind 确认没有概念冲突。",已完成,技能更新
CSE-004,升级 Control Contract 为 v2,"把 `SKILL.md` 现有 Control Contract 扩成 v2，增加 Primary Setpoint、Guardrail Metrics、Sampling Plan、Known Delays、Recovery Target、Rollback Trigger、Coupling Notes、Approximation Validity、Actuator Budget。","1) `SKILL.md` 的 Control Contract 字段完整包含新增 9 项；2) 字段命名在同一节内统一；3) 每个字段都有一句用途说明；4) 不再仅停留在 Goal/Acceptance/Constraints/Boundary/Risks 五项。","逐项回读字段，确认没有漏项或重名；review+rewind 检查字段是否可直接复制使用。",已完成,技能更新
CSE-005,补动态控制病之采样与观测新鲜度,"在 `SKILL.md` 传感器工程后新增“动态控制病”章节之一，覆盖采样周期、观测新鲜度、采样别名、陈旧指标与观测盲区。","1) `SKILL.md` 新增“动态控制病”标题；2) 文本明确包含采样周期、观测新鲜度、采样别名、陈旧指标四项；3) 每项都给出至少一个工程后果；4) 至少一条规则要求性能/稳定性问题先审查观测质量。","检查内容是否是可执行规则而不是概念堆砌；review+rewind 确认与“先测量”原则衔接自然。",已完成,技能更新
CSE-006,补动态控制病之去抖退避冷却,"继续扩充 `SKILL.md` 的动态控制病章节，增加告警去抖、滞回区间、退避策略、控制冷却时间，避免系统阈值抖动和频繁调参。","1) 文本显式包含告警去抖、滞回区间、退避策略、冷却时间四项；2) 每项至少给出一个何时启用的触发条件；3) 明确禁止连续重复同类控制动作不带冷却窗口。","回读规则，确认具备执行条件和停止条件；review+rewind 检查是否仍符合最小控制输入原则。",已完成,技能更新
CSE-007,补动态控制病之 anti-chatter 与 anti-windup,"在 `SKILL.md` 动态控制病章节补 anti-chatter、anti-windup、控制器打架、阈值抖动等现代分布式控制反模式。","1) 文本显式包含 anti-chatter、anti-windup、控制器冲突三个术语；2) 至少说明一个重试风暴或扩缩容超调场景；3) 给出至少一条防止多个 controller 同时改同一 knob 的规则。","检查术语解释是否贴近 SWE 场景；review+rewind 确认没有把 anti-windup 写成纯理论描述。",已完成,技能更新
CSE-008,新增机制优于策略原则,"在 `SKILL.md` 新增“机制优于策略”原则，吸收 The Bitter Lesson，明确何时禁止硬编码 timeout、retry、熔断阈值、连接池大小、扩缩容阈值。","1) `SKILL.md` 新增该原则的明确标题或小节；2) 文本显式禁止把上述阈值默认写死成人工经验；3) 明确至少两类优先机制，如自适应控制、反馈回路、搜索或在线学习；4) 至少给出一条例外条件。","检查是否给出‘何时允许静态策略’的边界，避免绝对化空话；review+rewind 确认与现有最小修改原则不冲突。",已完成,技能更新
CSE-009,新增 MTTR-first 与 crash-only 协议,"把 `SKILL.md` 从正确性优先扩展到 MTTR-first，补 crash-only、快速恢复、自动回滚、重启语义、故障注入、恢复预算。","1) `SKILL.md` 明确写出 MTTR 优先于 MTBF 的裁决语句；2) 至少包含 crash-only、自动回滚、故障注入三个概念；3) Verification 或 Contract 中出现恢复时间预算；4) 至少一条规则要求不可恢复状态优先显式失败而非静默维持。","检查协议是否与全局‘不静默兜底’基线一致；review+rewind 确认没有引入假恢复路径。",已完成,技能更新
CSE-010,补黑盒传递函数与耦合矩阵,"在 `SKILL.md` 或 `gda-framework.md` 增加黑盒输入输出、控制输入到输出影响矩阵、解耦矩阵的说明，要求改动前先分析 knob 对 output 的影响。","1) 至少一个文件新增传递函数或输入输出影响矩阵内容；2) 文本明确要求复杂任务先列控制输入、输出、影响方向与外溢风险；3) 明确至少一个多变量耦合示例。","检查矩阵描述是否足够具体，可直接用于 code review 或方案审计；review+rewind 确认没有停留在比喻层。",已完成,技能更新
CSE-011,新增抽象审查协议,"在 `SKILL.md` 决策准则附近新增抽象审查协议，强调允许 WET、优先物理解耦、按共变关系而不是代码相似度做抽象。","1) 文本显式出现允许 WET、物理解耦、共变关系三个原则；2) 至少列出一个‘代码相似但不应抽象’的判定标准；3) 至少一条规则要求评估未来是否同时变化。","检查协议是否足以约束过早抽象；review+rewind 确认没有把 DRY 全盘否定成另一个极端。",已完成,技能更新
